rule_lineage,target_region,source_axis,historical_window,scope,sample_days,hit_rate,baseline_rate,lift_pp,db_day_lift_pp,half_stable,tier_v10606,score,status,live_eligible,source_report,v107_risk
MB:MB_BOARD:G4#2:LAST2,MN,D-1,60,GLOBAL,60,0.5333,0.4333,10.0,8.52,2,WATCH,21.22,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G4#2:P3P4,MN,D-1,60,GLOBAL,60,0.5333,0.4333,10.0,8.52,2,WATCH,21.22,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G4#2:TAIL_HEAD,MN,D-6,90,GLOBAL,88,0.4545,0.4323,2.23,7.08,2,WATCH,11.72,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
