rule_lineage,target_region,source_axis,historical_window,scope,sample_days,hit_rate,baseline_rate,lift_pp,db_day_lift_pp,half_stable,tier_v10606,score,status,live_eligible,source_report,v107_risk
MB:MB_BOARD:G4#3:HEAD_SECOND_LAST,MT,D-4,60,GLOBAL,60,0.45,0.3557,9.43,5.88,2,WATCH,17.49,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G4#3:P1P3,MT,D-4,60,GLOBAL,60,0.45,0.3557,9.43,5.88,2,WATCH,17.49,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G7#3:LAST2_REV,MT,D-2,90,GLOBAL,90,0.4333,0.352,8.13,4.23,2,WATCH,16.21,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G4#3:HEAD_SECOND_LAST,MT,D-2,60,GLOBAL,60,0.4333,0.3557,7.77,5.88,2,WATCH,15.83,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G6#3:TAIL_HEAD,MT,D-4,90,GLOBAL,90,0.4,0.352,4.8,6.46,2,WATCH,15.55,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G6#3:P3P1,MT,D-4,90,GLOBAL,90,0.4,0.352,4.8,6.46,2,WATCH,15.55,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
