target_region,source_region,source_unit,source_prize,source_index,transform,axis,lag,window,days,h1_hits,h1_rate,h1_baseline,h1_lift_pp,h1_raw_p,h2_hits,h2_rate,h2_baseline,h2_lift_pp,h2_raw_p,score
MN,MT,Đà Nẵng,G1,1,SECOND_HEAD_TAIL,W-2,14,180,52,37,0.7115384615384616,0.4665384615384616,24.499999999999993,0.0003339926576069862,2,0.038461538461538464,0.034423076923076945,0.40384615384615186,0.5872926179221745,24.984615384615374
MN,MT,Đà Nẵng,G1,1,P2P5,W-2,14,180,52,37,0.7115384615384616,0.4665384615384616,24.499999999999993,0.0003339926576069862,2,0.038461538461538464,0.034423076923076945,0.40384615384615186,0.5872926179221745,24.984615384615374
MT,MT,Huế,DB,1,LAST2,D-3,3,180,31,17,0.5483870967741935,0.34967741935483865,19.870967741935488,0.016513479661944885,2,0.06451612903225806,0.02451612903225808,3.9999999999999982,0.19504927877823472,24.670967741935485
MT,MT,Huế,DB,1,P5P6,D-3,3,180,31,17,0.5483870967741935,0.34967741935483865,19.870967741935488,0.016513479661944885,2,0.06451612903225806,0.02451612903225808,3.9999999999999982,0.19504927877823472,24.670967741935485
MT,MT,Huế,G1,1,SECOND_HEAD_TAIL,W-4,28,180,36,18,0.5,0.35861111111111105,14.138888888888895,0.05534455453977385,4,0.1111111111111111,0.02527777777777779,8.583333333333332,0.002979421195621057,24.438888888888894
MT,MT,Huế,G1,1,P2P5,W-4,28,180,36,18,0.5,0.35861111111111105,14.138888888888895,0.05534455453977385,4,0.1111111111111111,0.02527777777777779,8.583333333333332,0.002979421195621057,24.438888888888894
MT,MT,Huế,G1,1,P3P2,D-6,6,180,31,18,0.5806451612903226,0.41645161290322585,16.419354838709676,0.04723375170292458,3,0.0967741935483871,0.03000000000000002,6.677419354838706,0.049165641930423165,24.432258064516123
MT,MT,Huế,DB,1,P5P1,D-6,6,180,31,18,0.5806451612903226,0.41645161290322585,16.419354838709676,0.04723375170292458,3,0.0967741935483871,0.03000000000000002,6.677419354838706,0.049165641930423165,24.432258064516123
MT,MT,Huế,G2,1,TAIL_HEAD,D-6,6,180,31,19,0.6129032258064516,0.41645161290322585,19.645161290322577,0.020844010660007847,2,0.06451612903225806,0.03000000000000002,3.4516129032258043,0.27420879791280395,23.787096774193543
MT,MT,Huế,G2,1,P5P1,D-6,6,180,31,19,0.6129032258064516,0.41645161290322585,19.645161290322577,0.020844010660007847,2,0.06451612903225806,0.03000000000000002,3.4516129032258043,0.27420879791280395,23.787096774193543
