rule_lineage,target_region,source_axis,historical_window,scope,sample_days,hit_rate,baseline_rate,lift_pp,db_day_lift_pp,half_stable,tier_v10606,score,status,live_eligible,source_report,v107_risk
MB:MB_BOARD:G6#2:FIRST2_REV,MB,D-4,60,GLOBAL,60,0.3667,0.2363,13.03,7.33,2,WATCH,22.83,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G6#2:P2P1,MB,D-4,60,GLOBAL,60,0.3667,0.2363,13.03,7.33,2,WATCH,22.83,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G4#3:P2P3,MB,D-6,60,GLOBAL,60,0.3333,0.2363,9.7,7.33,2,WATCH,19.5,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
MB:MB_BOARD:G6#1:LAST2_REV,MB,D-1,60,GLOBAL,60,0.3333,0.2363,9.7,5.67,2,WATCH,17.5,PRE_REGISTER_ONLY,False,V10626_FU4_OWNER_SCHEMA,BH_FAIL_GLOBAL|SELECTION_BIAS_RISK|PRE_REGISTER_ONLY|FORWARD_90D_INSUFFICIENT|NEW_FU4_SCHEMA_EXPANSION
