cua_so_ngay,mien,ky,dai_dat,dai_trung,he_pct,bua_pct,loi_the_pp,z,hoa_von_pct,con_thieu_pp,cong
30,MB,31,31,7,22.58,23.48,-0.9,-0.12,27.55,4.97,DONG
30,MN,31,97,15,15.46,16.3,-0.84,-0.22,18.37,2.9,DONG
30,MT,31,75,9,12.0,16.64,-4.64,-1.08,18.37,6.37,DONG
90,MB,91,91,15,16.48,23.71,-7.23,-1.62,27.55,11.07,DONG
90,MN,91,286,46,16.08,16.45,-0.36,-0.17,18.37,2.28,DONG
90,MT,91,221,30,13.57,16.51,-2.94,-1.18,18.37,4.79,DONG
180,MB,158,158,35,22.15,23.75,-1.59,-0.47,27.55,5.4,DONG
180,MN,158,497,82,16.5,16.55,-0.05,-0.03,18.37,1.87,DONG
180,MT,158,384,66,17.19,16.52,0.67,0.35,18.37,1.18,DONG
