cach_ghep,o_choi,dai_dat,dai_trung,ty_le_pct,bua_pct,loi_the_pp,hon_official_pp,z,hoa_von_pct,von,thu,lai,du_mau,ket_luan
OFFICIAL,15,35,9,25.71,17.37,8.34,0.0,1.3,19.42,666000,882000,216000,KHONG,CHƯA ĐỦ MẪU — không kết luận được
NGHIEM_THU,15,35,5,14.29,17.37,-3.09,-11.43,-0.48,19.42,666000,490000,-176000,KHONG,CHƯA ĐỦ MẪU — không kết luận được
HOP_HAI_SO,15,45,9,20.0,17.37,2.63,-5.71,0.47,19.39,855000,882000,27000,KHONG,CHƯA ĐỦ MẪU — không kết luận được
CHI_KHI_KHOP,11,25,5,20.0,17.37,2.63,-5.71,0.35,19.47,477000,490000,13000,KHONG,CHƯA ĐỦ MẪU — không kết luận được
UU_TIEN_NHIEU_MODEL,15,35,6,17.14,17.37,-0.23,-8.57,-0.04,19.42,666000,588000,-78000,KHONG,CHƯA ĐỦ MẪU — không kết luận được
