region,target_region,lane_id,isolation_tag,source_family,source_region,source_station,source_prize,source_lag,source_date,transform,rule_id,rule_lineage,rule_status,live_eligible,candidate_tail,current_day_source_available,source_pool_present,rank,top5,top10,votes,support_sources,would_save,would_break,false_promo,net,action,owner_gate,forbidden_action,isolation_status,lane_name,hit_count,false_promotion,net_effect
MN,MN,MN_RISO_001,MN_ONLY_STACK,V10626_BASELINE,MT,Đắk Nông,DB,D-1,2026-05-25,FIRST2_REV,1,MT:Đắk Nông:DB#1:FIRST2_REV,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
MN,MN,MN_RISO_002,MN_ONLY_STACK,V10626_BASELINE,MT,Bình Định,DB,D-1,2026-05-25,TAIL_HEAD,2,MT:Bình Định:DB#1:TAIL_HEAD,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
MN,MN,MN_RISO_003,MN_ONLY_STACK,V10626_BASELINE,MT,Khánh Hòa,DB,D-1,2026-05-25,P6P5,3,MT:Khánh Hòa:DB#1:P6P5,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
MN,MN,MN_RISO_004,MN_ONLY_STACK,V10626_BASELINE,MT,Khánh Hòa,DB,D-1,2026-05-25,P6P5,4,MT:Khánh Hòa:DB#1:P6P5,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
MN,MN,MN_RISO_005,MN_ONLY_STACK,V10626_BASELINE,MT,Khánh Hòa,G1,D-1,2026-05-25,P4P3,5,MT:Khánh Hòa:G1#1:P4P3,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
MN,MN,MN_RISO_006,MN_ONLY_STACK,V10626_BASELINE,MT,Đắk Nông,G1,D-1,2026-05-25,HEAD_TAIL,6,MT:Đắk Nông:G1#1:HEAD_TAIL,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
MN,MN,MN_RISO_007,MN_ONLY_STACK,V10626_BASELINE,MT,Ninh Thuận,G2,D-1,2026-05-25,FIRST2,7,MT:Ninh Thuận:G2#2:FIRST2,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
MN,MN,MN_RISO_008,MN_ONLY_STACK,V10626_BASELINE,MT,Ninh Thuận,G2,D-1,2026-05-25,FIRST2,8,MT:Ninh Thuận:G2#2:FIRST2,PRE_REGISTER_ONLY,False,,False,False,,False,False,0,{},False,False,False,0,REJECT_NO_CURRENT_SUPPORT,OWNER_REQUIRED_FOR_ANY_PROMOTION,OFFICIAL_COMMIT|PROMOTE|FORCE_BT|FORCE_LO2,PASS,MN_LANE_B_CLEAN_SIGNAL_ONLY,0,False,0
